ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard,US Zip Codes from 2013 Government Data.LAT,US Zip Codes from 2013 Government Data.LNG
653,34,9,92,90005,1,2.8,1,0,0,0,0,1,0,34.059163,-118.306892
1470,59,35,59,90005,4,1.2,2,0,0,0,0,1,0,34.059163,-118.306892
1620,45,21,29,90005,1,0.3,3,0,0,0,0,1,0,34.059163,-118.306892
1682,32,8,141,90005,2,4.33,1,0,0,0,0,0,0,34.059163,-118.306892
4187,33,9,10,90005,4,1,1,81,0,0,0,0,1,34.059163,-118.306892
146,59,35,124,90007,1,7.4,1,0,0,0,0,0,1,34.028129,-118.284829
473,43,19,31,90007,4,0.3,1,156,0,0,0,1,0,34.028129,-118.284829
2730,58,34,63,90007,4,1.5,1,0,0,0,0,1,0,34.028129,-118.284829
2868,59,33,110,90007,3,4.4,1,264,0,0,0,1,0,34.028129,-118.284829
3196,55,29,35,90007,3,1.4,1,0,0,0,0,0,0,34.028129,-118.284829
4850,49,25,65,90007,2,1,3,0,0,0,0,1,1,34.028129,-118.284829
1223,61,37,20,90011,3,0.4,2,94,0,0,0,0,0,34.007090,-118.258681
1686,40,16,89,90011,4,0.8,1,155,0,0,0,1,0,34.007090,-118.258681
2923,52,26,49,90011,1,1.4,3,0,0,0,0,1,0,34.007090,-118.258681
1067,30,5,125,90016,4,0.5,3,0,1,0,1,1,0,34.028331,-118.354338
2940,54,24,25,90016,4,0.4,3,0,0,0,0,0,1,34.028331,-118.354338
1019,39,15,61,90018,2,0.6,3,127,0,0,0,0,0,34.028887,-118.317183
2052,34,8,38,90018,4,0.2,1,0,0,0,0,0,0,34.028887,-118.317183
3594,60,34,44,90018,2,0.3,1,192,0,0,0,1,0,34.028887,-118.317183
3601,44,20,38,90018,2,2.1,3,95,0,0,0,1,0,34.028887,-118.317183
43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0,34.049841,-118.338460
410,49,22,82,90019,1,2.67,2,125,0,0,0,1,0,34.049841,-118.338460
1963,28,4,155,90019,1,6.33,1,0,0,0,0,0,0,34.049841,-118.338460
2846,62,36,85,90019,2,1.7,3,98,0,0,0,0,0,34.049841,-118.338460
3195,41,15,65,90019,3,0.5,3,0,0,0,0,0,0,34.049841,-118.338460
65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0,34.065723,-118.434969
390,45,20,155,90024,1,7,1,0,0,0,0,1,1,34.065723,-118.434969
400,28,3,84,90024,4,0.2,1,0,0,0,0,1,1,34.065723,-118.434969
521,61,37,54,90024,4,1.2,2,129,0,0,0,1,1,34.065723,-118.434969
553,28,3,52,90024,4,2.2,1,230,0,0,0,1,0,34.065723,-118.434969
719,56,31,21,90024,2,0.2,3,137,0,0,1,1,1,34.065723,-118.434969
769,43,19,72,90024,2,1.7,1,0,0,0,0,1,0,34.065723,-118.434969
820,56,30,45,90024,4,1.5,3,0,0,0,0,0,0,34.065723,-118.434969
1031,61,35,112,90024,4,1.7,3,0,0,0,0,0,1,34.065723,-118.434969
1064,56,30,39,90024,3,1.4,1,131,0,0,0,0,1,34.065723,-118.434969
1076,41,15,59,90024,4,0.2,3,0,0,0,0,0,0,34.065723,-118.434969
1280,48,22,84,90024,2,0.4,3,145,0,0,0,0,0,34.065723,-118.434969
1327,32,5,63,90024,4,2,2,0,0,1,0,1,0,34.065723,-118.434969
1455,51,25,148,90024,1,1,1,0,0,0,0,0,0,34.065723,-118.434969
1493,33,8,133,90024,1,0,1,0,0,0,0,1,0,34.065723,-118.434969
1625,28,2,31,90024,2,0.3,2,0,0,1,0,1,0,34.065723,-118.434969
1668,44,20,22,90024,1,1,1,91,0,0,0,0,0,34.065723,-118.434969
1796,49,24,70,90024,1,2.9,1,0,0,0,0,0,1,34.065723,-118.434969
2069,61,37,13,90024,2,0.3,3,0,0,0,0,1,0,34.065723,-118.434969
2095,57,31,64,90024,3,2.5,1,208,0,0,0,0,1,34.065723,-118.434969
2180,49,23,68,90024,1,1.5,2,0,0,0,0,0,0,34.065723,-118.434969
2188,54,30,40,90024,2,1,3,0,0,0,0,0,0,34.065723,-118.434969
